timestamp,kind,model,tag,prompt_tokens,completion_tokens,total_tokens
1758186147,chat,team12-gpt4o,questionnaire,1281,169,1450
1758186151,chat,team12-gpt4o,questionnaire,1041,189,1230
1758186156,chat,team12-gpt4o,questionnaire,1282,141,1423
1758186160,chat,team12-gpt4o,questionnaire,1307,154,1461
1758186164,chat,team12-gpt4o,questionnaire,855,174,1029
1758187323,chat,team12-gpt4o,parse_job,280,105,385
1758187324,embedding,team12-embedding,retrieve_job,59,0,59
1758187733,chat,team12-gpt4o,parse_job,280,114,394
1758187734,embedding,team12-embedding,retrieve_job,59,0,59
1758188118,chat,team12-gpt4o,parse_job,280,110,390
1758188119,embedding,team12-embedding,retrieve_job,59,0,59
1758188123,chat,team12-gpt4o,questionnaire,1247,157,1404
1758188129,chat,team12-gpt4o,scoring,1658,141,1799
1758188134,chat,team12-gpt4o,questionnaire,1248,183,1431
1758188140,chat,team12-gpt4o,scoring,1732,153,1885
1758188143,chat,team12-gpt4o,questionnaire,1007,153,1160
1758188149,chat,team12-gpt4o,scoring,1395,163,1558
1758188154,chat,team12-gpt4o,questionnaire,1273,167,1440
1758188163,chat,team12-gpt4o,scoring,1757,179,1936
1758188166,chat,team12-gpt4o,questionnaire,821,176,997
1758188173,chat,team12-gpt4o,scoring,1311,150,1461
1758188931,chat,team12-gpt4o,parse_job,280,114,394
1758188932,embedding,team12-embedding,retrieve_job,59,0,59
1758188938,chat,team12-gpt4o,questionnaire,1251,194,1445
1758188945,chat,team12-gpt4o,scoring,1645,145,1790
1758188949,chat,team12-gpt4o,questionnaire,1252,191,1443
1758188955,chat,team12-gpt4o,scoring,1723,157,1880
1758188958,chat,team12-gpt4o,questionnaire,1011,154,1165
1758188964,chat,team12-gpt4o,scoring,1443,151,1594
1758188969,chat,team12-gpt4o,questionnaire,1277,200,1477
1758188976,chat,team12-gpt4o,scoring,1838,174,2012
1758188980,chat,team12-gpt4o,questionnaire,825,183,1008
1758188986,chat,team12-gpt4o,scoring,1326,145,1471
1758188990,chat,team12-gpt4o,questionnaire,1094,151,1245
1758188996,chat,team12-gpt4o,scoring,1637,162,1799
1758189000,chat,team12-gpt4o,questionnaire,1058,173,1231
1758189005,chat,team12-gpt4o,scoring,1466,144,1610
1758189009,chat,team12-gpt4o,questionnaire,1086,140,1226
1758189014,chat,team12-gpt4o,scoring,1433,163,1596
1758189019,chat,team12-gpt4o,questionnaire,1063,181,1244
1758189026,chat,team12-gpt4o,scoring,1573,166,1739
1758189030,chat,team12-gpt4o,questionnaire,1051,170,1221
1758189038,chat,team12-gpt4o,scoring,1516,167,1683
1758189229,chat,team12-gpt4o,parse_job,367,177,544
1758189230,embedding,team12-embedding,retrieve_job,98,0,98
1758189235,chat,team12-gpt4o,questionnaire,1252,214,1466
1758189242,chat,team12-gpt4o,scoring,1706,190,1896
1758189246,chat,team12-gpt4o,questionnaire,1239,181,1420
1758189252,chat,team12-gpt4o,scoring,1669,142,1811
1758189256,chat,team12-gpt4o,questionnaire,1246,174,1420
1758189262,chat,team12-gpt4o,scoring,1684,155,1839
1758189267,chat,team12-gpt4o,questionnaire,1246,191,1437
1758189274,chat,team12-gpt4o,scoring,1689,185,1874
1758189278,chat,team12-gpt4o,questionnaire,1246,188,1434
1758189284,chat,team12-gpt4o,scoring,1741,137,1878
1758189287,chat,team12-gpt4o,questionnaire,1246,186,1432
1758189294,chat,team12-gpt4o,scoring,1616,147,1763
1758189299,chat,team12-gpt4o,questionnaire,1246,181,1427
1758189305,chat,team12-gpt4o,scoring,1654,185,1839
1758189311,chat,team12-gpt4o,questionnaire,1246,197,1443
1758189317,chat,team12-gpt4o,scoring,1698,135,1833
1758189321,chat,team12-gpt4o,questionnaire,1246,191,1437
1758189337,chat,team12-gpt4o,scoring,1670,144,1814
1758189341,chat,team12-gpt4o,questionnaire,1246,199,1445
1758189361,chat,team12-gpt4o,scoring,1701,145,1846
1758189483,chat,team12-gpt4o,parse_job,310,139,449
1758189485,embedding,team12-embedding,retrieve_job,79,0,79
1758189489,chat,team12-gpt4o,questionnaire,1278,175,1453
1758189496,chat,team12-gpt4o,scoring,1730,160,1890
1758189499,chat,team12-gpt4o,questionnaire,1252,160,1412
1758189504,chat,team12-gpt4o,scoring,1637,147,1784
1758189508,chat,team12-gpt4o,questionnaire,1231,197,1428
1758189517,chat,team12-gpt4o,scoring,1676,165,1841
1758189521,chat,team12-gpt4o,questionnaire,1252,173,1425
1758189528,chat,team12-gpt4o,scoring,1733,153,1886
1758189532,chat,team12-gpt4o,questionnaire,1252,170,1422
1758189539,chat,team12-gpt4o,scoring,1734,163,1897
1758189545,chat,team12-gpt4o,questionnaire,1252,173,1425
1758189552,chat,team12-gpt4o,scoring,1661,142,1803
1758189555,chat,team12-gpt4o,questionnaire,1252,170,1422
1758189563,chat,team12-gpt4o,scoring,1714,174,1888
1758189570,chat,team12-gpt4o,questionnaire,1252,168,1420
1758189577,chat,team12-gpt4o,scoring,1751,159,1910
1758189582,chat,team12-gpt4o,questionnaire,1247,159,1406
1758189589,chat,team12-gpt4o,scoring,1622,154,1776
1758189594,chat,team12-gpt4o,questionnaire,1256,192,1448
1758189601,chat,team12-gpt4o,scoring,1722,146,1868
